"Source:","/Users/roland/Projects/soldering-station/KiCad/circuit.sch"
"Date:","2020 March 01, Sunday 12:34:07"
"Tool:","Eeschema (5.1.4-0-10_14)"
"Component Count:","49"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","10nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","",""
"C2","C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","",""
"C3","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","",""
"C4","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","",""
"C5","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","",""
"C6","100nf","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","",""
"C7","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","",""
"D1","NeoPixel_THT","LED_THT:LED_D5.0mm-4_RGB","https://www.adafruit.com/product/1938","",""
"IC1","OP703PA","Package_DIP:DIP-8_W7.62mm","https://www.analog.com/media/en/technical-documentation/data-sheets/OP179_279.pdf","",""
"J1","Soldering iron","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","~","",""
"J2","TFT AK","my:TFT-1.8-AK","~","",""
"J3","TFT RL","my:TFT-1.8-RGB","~","",""
"J4","12V","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","~","",""
"J5","Power 12V","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","",""
"J6","LiPo-Bal","Connector_JST:JST_EH_S4B-EH_1x04_P2.50mm_Horizontal","~","",""
"J9","ISP","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","",""
"JP1","TFT Reset","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","",""
"JP2","BL Control","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","",""
"Prototype1","Conn_01x24","my:Proto1x24","~","",""
"Q1","IRF5305","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.infineon.com/dgdl/irf4905.pdf?fileId=5546d462533600a4015355e32165197c","",""
"Q2","2N7000","Package_TO_SOT_THT:TO-92_Inline","https://www.fairchildsemi.com/datasheets/2N/2N7000.pdf","",""
"Q3","LM7805","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.fairchildsemi.com/ds/LM/LM7805.pdf","",""
"Q4","LM117T 3.3","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.fairchildsemi.com/ds/LM/LM7805.pdf","",""
"R1","5,6kΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R2","100kΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R3","100Ω","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R4","68kΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R5","5,6kΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R6","10kΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R7","10kΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R8","1kΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R9","10kΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R10","220Ω/0Ω","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R14","10MΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R20","560Ω","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R21","2MΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R22","1MΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R23","1MΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R24","1MΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"R25","1MΩ","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"SW1","T1","Button_Switch_THT:SW_Tactile_Straight_KSL0Axx1LFTR","~","",""
"SW2","T2","Button_Switch_THT:SW_Tactile_Straight_KSL0Axx1LFTR","~","",""
"SW3","T3","Button_Switch_THT:SW_Tactile_Straight_KSL0Axx1LFTR","~","",""
"SW7","Menu","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","~","",""
"U1","ATmega328-PU","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","",""
"U2","4050","Package_DIP:DIP-16_W7.62mm","http://www.intersil.com/content/dam/intersil/documents/cd40/cd4050bms.pdf","",""
"U3","LM4040LP-4.1","Package_TO_SOT_THT:TO-92_Inline","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf","",""
"U4","TXS0102DCT","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/gpn/txs0102","",""
"Y1","16MHz","Crystal:Crystal_HC49-U_Vertical","~","",""
